"","Plant.Id","Plant.Name","State","Net.Gen","Physical_Unit","Total_Fuel_Consumption","FuelType","Lat","Lon"
"1892",1989,"Litchfield","MN",38,"barrels","126",NA,NA,NA
"1893",1989,"Litchfield","MN",32,"mcf","628",NA,NA,NA
"1894",1990,"Luverne","MN",32,"barrels","65",NA,NA,NA
"1895",1990,"Luverne","MN",0,"mcf","0",NA,NA,NA
"1896",1993,"Marshall (MN)","MN",85,"barrels","207",NA,NA,NA
"1897",1994,"Melrose","MN",0,"barrels","135",NA,NA,NA
"1898",1994,"Melrose","MN",0,"mcf","0",NA,NA,NA
"1899",1996,"Moose Lake","MN",65,"barrels","105",NA,NA,NA
"1900",1996,"Moose Lake","MN",0,"mcf","0",NA,NA,NA
"1901",1997,"Mora","MN",-45,"barrels","426",NA,NA,NA
"1902",1997,"Mora","MN",-30,"mcf","1,548",NA,NA,NA
"1903",1998,"Mountain Lake","MN",62,"barrels","118","WND",43.94,-94.93
"1904",1998,"Mountain Lake","MN",9,"mcf","101","WND",43.94,-94.93
