Plant.Id,State,Fuel.Simplified,Net.Gen,Lat,Lon,FuelType,Plant.Name
55014,IL,Waste,39678,41.73,-88.08,LFG,Greene Valley Gas Recovery
55015,TX,Natural Gas,2833490,29.07,-95.75,NG,Sweeny Cogen Facility
55025,TX,Natural Gas,24159,30.88,-101.92,NG,Yates Gas Plant
55026,MA,Natural Gas,864063,41.83,-71.12,NG,Dighton Power Plant
55029,WI,Natural Gas,20101,44.45,-88.07,NG,De Pere Energy Center
55031,ME,Natural Gas,335393,44.51,-70.24,NG,Androscoggin Energy Center
55036,TN,Natural Gas,25804,35.95,-83.93,NG,University of Tennessee Steam Plant
55037,TN,Natural Gas,36418,36.21,-86.69,NG,Opryland USA
55039,NM,Natural Gas,73410,35.03,-106.64,NG,Rio Bravo
55040,GA,Natural Gas,241772,32.49,-83.6,NG,Mid-Georgia Cogeneration Facility
55041,MA,Natural Gas,1108977,42.05,-72.65,NG,Berkshire Power
55042,CT,Natural Gas,3035491,41.17,-73.18,NG,Bridgeport Energy Project
55043,SC,Natural Gas,511021,35.07,-81.61,NG,Cherokee County Cogen
55044,AL,Natural Gas,119825,31.49,-87.9,NG,Boise Cascade Pulp & Paper Mill
55047,TX,Natural Gas,4731147,29.72,-95.18,NG,Pasadena Cogeneration
55048,RI,Natural Gas,1354120,41.64,-71.17,NG,Tiverton Power Plant
55049,CA,Biomass,12973,40.47,-122.32,WDS,Sierra Pacific Anderson Facility
55051,LA,Natural Gas,1637034,30.26,-91.19,NG,Axiall Plaquemine
55061,GA,Natural Gas,156111,33.35,-85.0,NG,Tenaska Georgia Generation Facility
55062,TX,Natural Gas,3578016,30.59,-95.92,NG,Tenaska Frontier Generation Station
55063,MS,Natural Gas,3761639,34.34,-89.93,NG,Batesville Generation Facility
55064,TX,Natural Gas,1617385,35.7,-101.36,NG,Black Hawk Station
55065,TX,Natural Gas,421226,32.97,-102.74,NG,Mustang Station
55066,IN,Waste Heat,400169,41.68,-87.42,WH,Heat Recovery Coke Facility
55068,ME,Natural Gas,330358,44.82,-68.71,NG,Maine Independence Station
55075,AR,Natural Gas,1304972,34.22,-91.9,NG,Pine Bluff Energy Center
55076,MS,Coal,3033410,33.38,-89.22,LIG,Red Hills Generating Facility
55077,NV,Natural Gas,2184488,35.79,-114.99,NG,Desert Star Energy Center
55079,MA,Natural Gas,2101441,42.11,-72.02,NG,Millennium Power
55081,TN,Natural Gas,243625,35.54,-89.2,NG,Brownsville Peaking Power
55084,CA,Natural Gas,1671479,38.06,-122.22,NG,Crockett Cogen Project
55086,TX,Natural Gas,2663022,27.89,-97.26,NG,Gregory Power Facility
55087,MI,Natural Gas,3471259,42.82,-86.0,NG,Zeeland Generating Station
55088,MI,Natural Gas,3501598,42.3,-83.15,NG,Dearborn Industrial Generation
55089,LA,Natural Gas,4847006,29.99,-90.46,NG,Taft Cogeneration Facility
55090,ID,Biomass,29412,47.33,-116.89,WDS,Plummer Cogen
55091,TX,Natural Gas,5673797,32.43,-97.05,NG,Midlothian Energy Facility
55096,IN,Natural Gas,286921,41.63,-87.17,NG,Portside Energy
55097,TX,Natural Gas,5999121,33.63,-95.59,NG,Lamar Power Project
55098,TX,Natural Gas,3274471,26.21,-98.4,NG,Frontera Energy Center
55100,ME,Natural Gas,283166,44.53,-70.52,NG,"Rumford Power, Inc"
55101,MI,Natural Gas,1706,42.28,-85.49,NG,Kalamazoo River Generating Station
